m,y,d,t
Dec.,00,8,55.4F
Dec.,02,17,37.2F
Sep.,16,8,68.3F
Jun.,98,16,57.9F
Oct.,17,15,62F
Dec.,13,1,43.7F
Apr.,06,24,56.2F
Mar.,10,15,45F
Dec.,16,12,43.1F
Jan.,08,10,46.2F
Sep.,14,30,63F
Jun.,07,9,61.4F
Aug.,96,14,-198.1F
Dec.,97,9,48.3F
Feb.,10,9,26.4F
Feb.,11,24,43.1F
Jul.,03,10,70F
Nov.,18,16,42F
Dec.,19,29,34.7F
Apr.,16,28,40.7F
Nov.,02,4,49.3F
Dec.,01,13,35.5F
Apr.,98,7,44.4F
May,04,15,57.3F
May,97,1,53.4F
Feb.,18,11,39.4F
Oct.,00,5,55.1F
Feb.,20,20,46.2F
Sep.,06,29,63.9F
Nov.,95,20,41.8F
Apr.,00,16,48.5F
Nov.,03,30,46.2F
Sep.,17,15,52.3F
Dec.,07,3,44.8F
Jun.,18,26,62.3F
May,98,1,51F
May,18,30,70.2F
Jun.,01,26,74.5F
Oct.,96,10,51.6F
Aug.,18,13,-169.5F
Nov.,06,21,46.2F
Jul.,99,8,64F
Jun.,13,18,74.2F
May,03,18,57.9F
Sep.,04,20,156.3F
Nov.,09,24,52.7F
Nov.,15,17,57.4F
Jul.,14,21,65.3F
Sep.,02,1,58.9F
Jun.,13,27,54.5F
Feb.,15,12,-183.4F
Nov.,99,7,-173.5F
Mar.,03,12,45.8F
Dec.,11,17,38.1F
Aug.,18,27,62.5F
May,06,23,50.4F
Mar.,12,22,53.4F
Mar.,07,19,37.1F
Jul.,09,21,67.9F
Oct.,04,12,53.5F
Jun.,08,6,55.8F
Mar.,00,9,53.1F
Apr.,15,20,52.1F
Oct.,05,30,64.1F
Dec.,17,16,-168F
Nov.,11,17,42.9F
Feb.,99,18,41.3F
Aug.,07,5,74F
Apr.,96,22,67.2F
Feb.,10,7,36.1F
Mar.,17,11,46.1F
Jul.,02,5,NA
May,95,15,48.8F
Sep.,12,25,56.2F
Jul.,10,8,75.6F
Jun.,16,22,68.1F
Aug.,19,28,73.8F
Sep.,07,18,NA
Oct.,04,28,55.2F
Jan.,18,17,39.5F
Feb.,20,6,39.7F
Jun.,19,19,-156.9F
Dec.,17,7,41.6F
Jan.,95,17,44.1F
May,07,9,53.2F
Jan.,02,10,35.8F
May,01,7,54F
Dec.,07,20,24.8F
Mar.,02,11,50F
Feb.,06,4,-185.4F
Jun.,03,1,72.5F
Jan.,15,29,36.9F
Jun.,11,23,59F
Jun.,15,17,61.7F
Mar.,08,21,40F
Jul.,17,24,60.1F
Mar.,06,23,38.6F
Apr.,17,27,41.5F
Jan.,06,28,25.3F
Jan.,95,22,49.4F
Oct.,00,3,55.9F
Mar.,02,19,49.7F
Jan.,00,8,43.6F
May,01,2,56.9F
Jul.,11,19,58.1F
Jul.,04,26,62.9F
Sep.,05,3,64.6F
Oct.,04,3,57.9F
Apr.,11,18,55.7F
Nov.,98,8,45.6F
Nov.,08,21,43F
Jan.,04,10,42.6F
Jan.,02,7,35.2F
Jun.,12,6,57.3F
May,98,14,70.2F
Mar.,97,29,44.1F
Oct.,06,3,57.1F
Jan.,09,1,26.3F
Jan.,13,28,41.4F
Feb.,08,7,NA
Feb.,20,16,54.3F
Apr.,00,9,51.2F
Apr.,97,24,50.8F
Aug.,19,8,66.3F
Jun.,99,25,59.8F
Dec.,12,22,-191.8F
May,05,29,59.9F
Apr.,15,12,50.9F
May,07,1,59F
Mar.,15,4,39.8F
May,19,17,-99F
Oct.,19,8,55.8F
Jan.,16,4,44F
Aug.,14,1,68.8F
Aug.,15,18,58F
Feb.,05,7,32.1F
Feb.,20,8,46.5F
Oct.,17,3,54.3F
Apr.,18,6,48.7F
Jun.,02,16,-170.5F
Nov.,02,20,44.8F
Nov.,96,18,38.3F
Jul.,01,24,67.9F
Sep.,14,29,61.5F
Sep.,13,11,56.9F
Mar.,10,2,156.9F
Nov.,10,2,50.6F
Oct.,13,28,57.4F
Feb.,01,15,42.7F
Sep.,03,7,60.4F
Jul.,97,20,60.7F
Aug.,07,14,65.6F
Jan.,99,30,28.9F
Aug.,07,21,NA
Dec.,01,10,31.1F
Sep.,07,12,NA
Oct.,02,29,49F
Jan.,05,26,28.6F
Apr.,19,6,49.8F
Jun.,07,28,59.3F
May,08,31,60.3F
May,04,22,49F
Sep.,05,24,61.6F
May,14,27,-151.1F
Dec.,07,5,NA
Jun.,06,9,67.2F
May,00,3,52F
Apr.,09,9,-99F
Dec.,19,30,41.3F
Dec.,15,26,53.8F
Aug.,05,3,-172.6F
May,06,20,52.8F
Dec.,15,15,-168.1F
Sep.,00,21,59.8F
Feb.,10,19,38F
Jul.,03,14,162.1F
Jan.,02,12,38F
Jul.,01,18,60F
Mar.,05,27,NA
Jun.,06,17,62.8F
Nov.,15,5,57F
Jan.,04,29,33.7F
Oct.,96,28,56.3F
Jan.,16,8,40.2F
Feb.,19,8,45.9F
Mar.,00,19,40.5F
Mar.,95,17,47.8F
Jul.,00,22,57.3F
Jul.,99,5,64.8F
Sep.,10,3,56.4F
Sep.,02,20,58.7F
Oct.,97,4,56.1F
Jul.,04,19,64.7F
Dec.,09,27,40F
Jan.,00,30,50.7F
Aug.,15,1,61.7F
Dec.,11,31,47.8F
Mar.,07,3,44.8F
Mar.,05,17,150.1F
Aug.,16,28,70.5F
Sep.,19,23,61.4F
Apr.,11,11,58.6F
Feb.,05,16,31.5F
Oct.,03,19,38.8F
Mar.,20,5,43F
Mar.,13,13,25.4F
Oct.,08,26,53.4F
May,09,9,52.3F
Jun.,97,23,56F
May,02,22,NA
Nov.,15,26,40.4F
Apr.,18,5,44.4F
Feb.,13,14,31.6F
Apr.,99,8,48.1F
Feb.,96,14,-156.7F
Nov.,18,8,48.8F
Feb.,19,19,46F
Mar.,10,18,53.3F
Nov.,12,25,50.5F
Jun.,09,14,63F
Apr.,13,27,44.3F
Feb.,02,5,51.8F
Nov.,00,5,43.8F
Oct.,03,30,44.3F
Oct.,08,22,47.2F
May,02,25,NA
Apr.,98,17,159.8F
Sep.,06,25,61.7F
Aug.,00,2,65.1F
Dec.,05,25,40F
Oct.,10,19,49.1F
Apr.,02,7,44.6F
May,98,17,61.6F
Dec.,01,11,176.4F
Mar.,03,27,NA
Jun.,18,22,55.1F
Oct.,13,2,54.3F
Sep.,03,14,57.7F
Mar.,96,26,41.2F
May,08,30,59F
Nov.,19,29,43.5F
Jan.,12,15,33.1F
Aug.,97,9,74.4F
May,99,12,57.1F
Apr.,99,23,52.4F
Jan.,20,9,53F
May,09,16,54F
Mar.,13,12,25.6F
Jul.,10,31,68.6F
Sep.,03,28,57.4F
Sep.,18,9,195.9F
Oct.,09,19,46.5F
Aug.,05,16,60.5F
Jun.,16,28,62.4F
Jun.,11,12,56.7F
Aug.,99,10,64.3F
Jan.,05,19,42.2F
Dec.,12,1,36.2F
Jul.,09,17,NA
Mar.,17,9,50.6F
Dec.,04,28,37F
Jan.,06,7,33.9F
Nov.,05,8,-174.4F
Sep.,01,11,175.4F
Sep.,12,24,58.7F
Nov.,07,24,NA
Jul.,11,15,63.5F
Mar.,03,4,45.7F
Jul.,05,28,74.1F
Oct.,00,17,50.6F
Aug.,12,9,62.7F
Jan.,10,4,23.3F
Feb.,05,28,25.3F
Nov.,98,19,35.3F
Nov.,10,18,41.5F
Jun.,16,10,61.8F
Apr.,19,4,NA
Jan.,19,3,39.2F
Jul.,97,11,68.3F
Mar.,99,14,46.7F
Feb.,18,15,41.8F
Feb.,19,28,47.7F
Jun.,98,28,153F
Jan.,14,9,49.2F
Oct.,11,26,51.3F
Jul.,16,8,66.5F
May,16,3,50.9F
Jul.,19,20,70F
Jan.,16,1,42F
Jul.,08,19,62.8F
Mar.,19,23,NA
Sep.,05,11,65.7F
Feb.,13,12,29F
Aug.,10,13,59.9F
Feb.,19,3,36.3F
May,10,11,40.5F
Dec.,99,1,49.2F
Nov.,15,27,38.7F
Aug.,11,15,60.9F
Mar.,19,6,50F
Jun.,01,1,-161.3F
Jan.,04,23,36.4F
Aug.,18,18,63.2F
Nov.,11,8,48.6F
Dec.,06,16,42.9F
Aug.,06,30,57.2F
Jun.,01,9,54.1F
Aug.,12,6,62.6F
Jun.,15,5,70.1F
Mar.,12,12,47.9F
Jun.,07,16,-165.4F
Oct.,11,22,-189.2F
Jul.,14,31,65.8F
Sep.,07,13,57.7F
Sep.,15,4,55.5F
Feb.,97,25,52.4F
Jun.,97,20,57.3F
Jun.,97,11,67F
Jan.,99,6,51.6F
Jan.,06,20,46.2F
Nov.,09,20,55.3F
Sep.,03,4,60.5F
Dec.,07,28,42.9F
Aug.,95,18,-183.2F
May,16,7,66.6F
Jan.,06,30,31F
Nov.,97,7,50.2F
Dec.,12,28,45.5F
Apr.,08,12,47.5F
Sep.,10,16,167.6F
Aug.,10,17,59.9F
Mar.,17,21,NA
Aug.,95,9,66.7F
Aug.,18,28,NA
Jan.,98,15,44.9F
Jul.,06,15,NA
Nov.,00,12,NA
Jan.,02,29,48.6F
May,10,30,55.1F
Jul.,04,4,58.8F
Sep.,07,3,59.7F
Mar.,16,13,37.7F
Jun.,19,7,57.5F
Sep.,10,4,56F
Mar.,01,16,50.1F
